abat/o	abbot
frag/o	strawberry
fragment/o	fragment
fraj/o	spawn
frak/o	dress-coat
frakas/i	shatter, smash  AK
frakci/o	fraction
fraksen/o	ash (tree)  AK
fram/o	
framason/o	freemason
framb/o	raspberry
franc/o	
frand/i	revel in dainties, junket  AK
frangol/o	black alder, buck-thorn  AK
franĝ/o	fringe
frank/o	franc
frap/i	hit, knock (vb.)  AK
frat/o	brother
fraŭl/o	bachelor
fraz/o	phrase, sentence
fregat/o	frigate
fremd/a	strange, foreign
frenez/a	mad, crazy  AK
fresk/o	
freŝ/a	fresh
fring/o	chaffinch  AK
fringel/o	siskin
fripon/o	rogue, knave
fris/o	
frit/i	fry
frivol/a	frivolous
friz/i	friz, curl, dress (hair)  AK
fromaĝ/o	cheese
front/o	front
fronton/o	pediment
frost/o	frost
frot/i	rub
fru/a	early
frugileg/o	rook
frukt/o	fruit
frunt/o	forehead
frustr/i	
ftiz/o	phthisis, consumption
fuĝ/i	to flee
fuk/o	fucus
fulg/o	soot
fulm/o	lightning
fum/o	smoke
fund/o	bottom
fundament/o	foundation
funebr/o	mourning  AK
funel/o	funnel, mill-hopper
fung/o	fungus, mushroom  AK
funkci/o	function
funt/o	pound
furaĝ/o	forage
furi/o	Fury
furioz/a	furious, raging
furor/o	vogue
furunk/o	furuncle
furz/i	
fusten/o	fustian
fuŝ/i	bungle, blunder, botch  AK
fut/o	foot (measure)  AK
gad/o	hake, stockfish  AK
gaj/a	gay, glad
gajl/o	oak-apple
gajn/i	gain
gal/o	gall
galaksi/o	
galant/o	snowdrop
galanteri/o	haberdashery, trimmings  AK
galantin/o	
galer/o	galley
galeri/o	gallery
galon/o	galloon (gold or silver lace)  AK
galop/o	gallop
galoŝ/o	galosh  AK
gam/o	musical scale, gamut  AK
gamaŝ/o	gaiter
gangli/o	ganglion
gangren/o	gangrene
gant/o	glove
garaĝ/o	garage
garanti/i	guarantee (vb.)  AK
garb/o	sheaf, shock
gard/i	guard, watch over  AK
gardeni/o	gardenia
gargar/i	gargle, rinse  AK
garn/i	to garnish
garnitur/o	
garnizon/o	garrison
garol/o	jay
gas/o	gas
gast/o	guest
gaz/o	gauze
gazel/o	gazel
gazet/o	gazette, news-paper
gelaten/o	jelly
gem/o	
gen/o	
gencian/o	gentian
genealog/o	
genealogi/o	
generaci/o	generation
general/o	a general
geni/o	genius
genist/o	broom, genista
genitiv/o	genitive
genot/o	genet
genr/o	
gent/o	race, kind, genus
genu/o	knee
geodezi/o	
geograf/o	
geografi/o	geography
geolog/o	geologist
geologi/o	geology
geometr/o	
geometri/o	geometry
Georg/o	
gerani/o	geranium
german/o	
gerundi/o	gerund
gest/i	gesture
giĉet/o	
gigant/o	giant
gilotin/o	guillotine
gimnastik/o	gymnastics
gimnazi/o	grammarschool
gips/o	gypsum
girland/o	garland
gitar/o	guitar
glaci/o	ice (natural)  AK
glad/i	to iron  AK
gladiator/o	
glan/o	acorn
gland/o	gland, glandule
glas/o	a glass, tumbler  AK
glat/a	smooth, glossy (not rough)  AK
glav/o	sword
glazur/o	glaze
glicerin/o	glycerine
gliciriz/o	liquorice
glikoz/o	glucose
glim/o	mica  AK
glis/i	
glit/i	glide, skate, slide  AK
glob/o	globe
glor/o	glorify  AK
glu/o	glue
glukoz/o	glucose
glut/i	swallow (vb.)
gnom/o	
gobi/o	gudgeon
golf/o	gulf  AK
gondol/o	gondola
gorĝ/o	throat
goril/o	
gotik/a	
graci/a	slender
grad/o	degree
graf/o	earl, count
grafik/o	
grafit/o	
grafolog/o	
grafologi/o	graphology
grajn/o	a grain
gram/o	gram
gramatik/o	grammar
gramofon/o	gramophone
granat/o	pomegranate
grand/a	great, tall
grandioz/a	grand
granit/o	granite
gras/o	fat
grat/i	scratch
gratul/i	congratulate
grav/a	important
graved/a	pregnant
gravur/i	grave, engrave
greg/o	flock
grek/o	
gren/o	grain
grenad/o	grenade
gri/o	hulled grain (t.e. senŝeligita greno ia); coarse oatmeal (t.e. aveno duone muelita)  AK
grifel/o	slate-pencil  AK
gril/o	cricket (insect)
grimac/i	grimace
grimp/i	to climb
grinc/i	gnash, grind (of teeth, etc.)  AK
grip/o	
griz/a	grey
grog/o	
gros/o	gooseberry
groŝ/o	groschen (coin)  AK
grot/o	grotto  AK
grotesk/a	
gru/o	crane (bird)
grumbl/i	to grumble
grund/o	ground, earth (soil)
grup/o	group
gruz/o	gravel, grit
guberni/o	government (district)
gudr/o	tar
guf/o	owl
gujav/o	
gulden/o	florin
gum/o	gum (product)  AK
gurd/o	street organ, hurdy-gurdy  AK
gust/o	taste
gut/o	drop
gutaperk/o	
guvern/i	teach privately (act as tutor)  AK
gvardi/o	guard (subst.) (milit.)  AK
Gvatemal/o	
gvid/i	guide
Gvine/o	
ĝarden/o	garden
ĝem/i	groan
ĝemel/o	a twin
ĝen/i	inconvenience, bother, disturb  AK
ĝendarm/o	
ĝeneral/a	general
ĝentil/a	polite, courteous  AK
ĝerm/o	germ  AK
ĝib/o	hump
ĝin/o	
ĝir/i	to transfer (funds)
ĝiraf/o	giraffe  AK
ĝoj/i	rejoice, be glad  AK
ĝu/i	enjoy  AK
ĝust/a	right, exact, correct  AK
hajl/o	hail
hak/i	hew, chop
hal/o	hall (market, etc.)  AK
haladz/o	fume, exhalation  AK
halebard/o	
halt/i	come to a stop
hamak/o	hammock
hamstr/o	hamster
hangar/o	hangar, storage building
har/o	hair
hard/i	harden
harem/o	
haring/o	herring
harmoni/o	harmony
harmonik/o	
harmonium/o	
harp/o	harp
harpi/o	
harpun/o	harpoon
haŭt/o	skin (subst.)  AK
hav/i	have
haven/o	port, harbour
hazard/o	
hebre/o	Hebrew
heder/o	ivy
hegemoni/o	hegemony
heĝ/o	hedge
hejm/o	home
hejt/i	heat (vb.)
hekatomb/o	hecatomb
heksametr/o	
hektar/o	hectare
hektogram/o	
hektolitr/o	
hektometr/o	
hel/a	light, clear  AK
helic/o	screw, propeller
helik/o	snail
helikopter/o	helicopter
heliotrop/o	
help/i	help
Henriet/o	
hepat/o	liver
herb/o	grass
hered/i	inherit
herez/o	heresy
hermafrodit/a	
herni/o	hernia, rupture (med.)  AK
hero/o	hero  AK
herold/o	herald
hetman/o	
hezit/i	to hesitate
hiacint/o	hyacinth
hidr/o	
hidrarg/o	quicksilver
hidrofobi/o	hydrophobia
hidrogen/o	hydrogen
hidrostatik/o	
hidroterapi/o	
hien/o	hyena
hierarĥi/o	hierarchy
hierarki/o	hierarchy
hieroglif/o	
higien/o	hygiene
higrometr/o	
himn/o	hymn
hipertrofi/o	
hipnot/o	hypnotic sleep
hipodrom/o	
hipokrit/i	feign, play the hypocrite
hipopotam/o	hippopotamus
hipotek/o	mortgage
hipotez/o	hypothesis
hirt/a	bristly, rough
hirud/o	leech
hirund/o	swallow (bird)
hiskiam/o	henbane
hisop/o	
hispan/o	
histeri/o	hysterics
histori/o	history, story
histrik/o	porcupine
hoboj/o	oboe
hok/o	hook
hom/o	man (the species)  AK
homeopat/o	
homeopati/o	homeopathy
homonim/o	homonym
honest/a	honest
honor/o	honour (vb.)  AK
honorari/o	honorarium
hont/i	be ashamed  AK
hor/o	hour
horde/o	barley
horizont/o	horizon
horizontal/o	horizontal
horloĝ/o	clock
hormon/o	
horoskop/o	
hortensi/o	hydrangea
hortulan/o	ortolan (bird)  AK
hospital/o	hospital
hosti/o	host (consecrated wafer)  AK
hotel/o	hotel
huf/o	hoof
hum/o	humus, vegetable mould
human/a	humane
humer/o	
humid/a	damp, humid
humil/a	humble
humor/o	temper, humour  AK
hund/o	dog
hungar/o	
husar/o	hussar
huz/o	huso, sturgeon
ĥaos/o	chaos
ĥemi/o	chemistry
ĥimer/o	chimera
ĥirurg/o	surgeon
ĥirurgi/o	surgery
ĥoler/o	cholera
ĥor/o	chorus, choir
ibis/o	ibis
ide/o	idea
ideal/o	ideal
idealism/o	idealism
ident/a	identical
ideografi/o	ideography (noto)
ideologi/o	
idili/o	idyl
idiom/o	
idiot/o	idiot
idiotism/o	idiom (lingual peculiarity)
idol/o	idol
ignor/i	
iĥtiokol/o	isinglas
iks/o	
ileks/o	holly
ilumin/i	illuminate (lamps, lights, etc.)  AK
ilustr/i	illustrate
iluzi/o	illusion
imag/i	imagine
imit/i	imitate
imperativ/o	
imperfekt/o	
imperi/o	empire
imperial/o	roof (of a coach)
imperialism/o	imperialism
impertinent/a	impertinent
impet/i	to rush forward
implik/i	implicate
impon/i	impose
import/i	import
impost/o	impost
impres/o	impression
impresari/o	
improviz/i	improvize
impuls/o	impulsion
imun/a	immune
inaŭgur/i	to inaugurate
inaŭguraci/o	inauguration
incens/o	incense
incit/i	provoke, incite
indeks/o	index, alphabetical register
indiferent/a	indifferent
indig/o	indigo
indign/i	be indignant  AK
indiĝen/o	a native, indigene
indik/i	to indicate
indikativ/o	
individu/o	individual
indukt/i	to infer (induction)
indulg/i	be indulgent, be merciful, spare  AK
industri/o	industry
inert/a	inert, sluggish
infan/o	child
infanteri/o	infantry
infekt/i	infect
infer/o	hell
infinitiv/o	
inflaci/o	
inflam/o	inflammation
influ/i	influence
inform/i	inform
infuz/i	infuse
ingredienc/o	ingredient
ingven/o	groin
inĝenier/o	engineer
iniciat/i	initiate, start  AK
injekt/i	to inject
ink/o	ink
inklin/a	inclined, disposed  AK
inkluziv/a	
inkognit/o	incognito
inkvizici/o	Inquisition
inkvizitor/o	inquisitor
inokul/i	inoculate  AK
insekt/o	insect
insid/i	lay snares
insign/o	insignia, armorial bearings  AK
insist/i	insist
inspekt/i	
inspektor/o	inspector
inspir/i	inspire
instal/i	
instanc/o	
instig/i	instigate
instinkt/o	instinct
instituci/o	institution
institut/o	institute
instru/i	instruct, teach
instrukci/o	instruction
instrument/o	instrument
insul/o	island
insulin/o	
insult/i	abuse, revile  AK
intelekt/o	intellect
inteligent/a	intelligent
intenc/i	intend
intendant/o	
intens/a	intense, intensive
intereso, inte	interest
interjekci/o	interjection
intermit/i	intermit
intern/a	inner
interpelaci/i	to interpellate
interpret/i	interpret
interpunkci/o	punctuation
intervju/o	interview
intest/o	intestine
intim/a	intimate
intrig/i	intrigue
inund/i	to inundate
invad/i	to invade
invalid/o	invalid
invent/i	to invent
invers/a	inverse
invit/i	invite
ipsilon/o	
ir/i	go
Irak/o	
Iran/o	
irid/o	yellow flag
iris/o	iris
Irland/o	
ironi/o	irony
Island/o	
Israel/o	
istm/o	isthmus
ital/o	
izol/i	isolate
Izrael/o	
jaguar/o	jaguar
jak/o	jacket
Januar/o	January
japan/o	
jar/o	year
jasmen/o	jasmine
Jesu/o	Jesus
jezuit/o	Jesuit
jod/o	iodine
Johan/o	
Jork/o	
Jozef/o	
jubile/o	jubilee
jud/o	jew
judaism/o	judaism
jug/o	yoke
jugland/o	walnut
juĝ/i	judge  AK
juk/i	itch
Juli/o	July
jun/a	young
jung/i	couple, harness (vb.)
Juni/o	June
juniper/o	juniper
junk/o	rush (bot.)
jup/o	petticoat
jur/o	jurisprudence, science of law, law
just/a	just, righteous
juvel/o	jewel
ĵaket/o	jacket
ĵaluz/a	jealous
ĵargon/o	jargon
ĵaŭd/o	Thursday
ĵaz/o	
ĵet/i	throw
ĵoke/o	
ĵongl/i	juggle
ĵud/o	
ĵur/i	swear
ĵurnal/o	journal
kabal/o	cabala
kaban/o	hut
kabinet/o	1-e cabinet; 2-e cabinet; 3-e cabinet
kabl/o	cable, rope
kabriolet/o	
kaĉ/o	pap
kadavr/o	corpse
kadenc/o	cadence
kadet/o	cadet
kadr/o	frame (a)  AK
kaduk/a	decrepit, decayed (of things)  AK
kaf/o	coffee
kaĝ/o	cage
kahel/o	earthen (etc.) tile, flagstone (building)  AK
kaj/o	quay, wharf
kajer/o	unbound book, part (of same)  AK
kajut/o	cabin
kaka/o	cocoa
kakt/o	cactus
kal/o	corn (on the foot)
kalci/o	
kaldron/o	kettle
kalejdoskop/o	
kalendar/o	calendar
kalendul/o	marigold
kaleŝ/o	carriage
kalfatr/i	calk
kali/o	potassium
kalibr/o	
kalif/o	
kalik/o	chalice, cup  AK
kalikot/o	calico
kalk/o	lime
kalkan/o	heel
kalkul/i	calculate
kalomel/o	
kalson/o	drawers
kalumni/i	calumniate
kalv/a	bald, calvous
Kalvin/o	
kamarad/o	comrade, fellow
kambi/o	bill of exchange  AK
kame/o	
kamel/o	camel
kameli/o	camelia
kamen/o	fire-place
kamer/o	room (dark), camera  AK
kamfor/o	camphor  AK
kamion/o	lorry, truck
kamizol/o	waistcoat
kamlot/o	camlet (cloth)  AK
kamomil/o	camomile
kamp/o	field
kampanj/o	
kan/o	cane (reed)  AK
kanab/o	hemp
kanaben/o	linnet
Kanad/o	
kanajl/o	scoundrel, rascal  AK
kanal/o	channel
kanap/o	sofa, lounge
kanari/o	canary
kancelari/o	chancery
kancelier/o	chancellor
kancer/o	
kand/o	sugar-candy
kandel/o	candle
kandelabr/o	candelabrum
kandidat/o	candidate
kanguru/o	
kanibal/o	cannibal
kankr/o	crab
kanon/o	cannon, canon
kanonik/o	prebendary
kant/i	sing
kantarid/o	cantharide
kantat/o	cantata
kanton/o	
kantor/o	chanter, precentor  AK
kanvas/o	canvass (material)  AK
kanzon/o	(chanson), (little) song
kap/o	head
kapabl/a	capable
kapel/o	chapel
kapital/o	capital
kapitan/o	captain
kapitel/o	capital (of pillar)  AK
kapitulac/i	capitulate
kapon/o	capon
kapor/o	caper (berry)  AK
kaporal/o	corporal
kapot/o	greatcoat (with cape)  AK
kapr/o	goat
kapreol/o	roe, roe-buck
kapric/a	caprice, whim
kapsik/o	
kapsul/o	capsule
kapt/i	catch
kapucen/o	capuchin friar
kapuĉ/o	cowl, hood  AK
kar/a	dear
karaben/o	carabine
karaf/o	caraffe, decanter
karakter/o	character
karakteriz/i	characterize
karambol/i	to cannon at billiards
karamel/o	
karas/o	crucian (fish)  AK
karat/o	carat
karavan/o	caravan
karb/o	coal
karbon/o	carbon
karcer/o	dungeon
kard/o	thistle
kardel/o	thistle-finch
kardinal/o	
kares/i	caress
karier/o	career
karikatur/o	
kariofil/o	clove
kariol/o	cariole
karmin/o	carmine
karn/o	flesh
karnaval/o	carnival  AK
karo/o	diamonds (cards)  AK
karob/o	carrob-bean, locust (fruit)  AK
karoseri/o	
karot/o	carrot
karp/o	carp (fish)
karpen/o	yoke-elm
kart/o	card
kartav/i	trill the r strongly  AK
kartilag/o	cartilage
kartoĉ/o	cartridge (for gun)  AK
kartograf/o	
kartografi/o	
karton/o	cardboard  AK
kartuŝ/o	
karusel/o	roundabout  AK
kas/o	till, cash-box, chest (money)  AK
kased/o	
kaserol/o	stewpan, saucepan  AK
kask/o	helmet
kasked/o	(peaked) cap
kast/o	caste
kastanjet/o	castanet
kastel/o	castle
kastor/o	beaver
kastr/i	castrate  AK
kaŝ/i	hide (vb.)
kaŝtan/o	chestnut
kat/o	cat
katafalk/o	catafalque
katakomb/o	
katalepsi/o	catalepsy
katalog/o	catalogue
kataplasm/o	poultice
katapult/o	
katar/o	catarrh
katarakt/o	cataract (eye)  AK
katastrof/o	catastrophe
katedr/o	chair of state
katedral/o	
kategori/o	category
kateĥist/o	catechist
kateĥiz/i	to catechise
katekist/o	catechist
katekiz/i	to catechise
katen/o	fetter
katolik/a	catholic
katun/o	cotton, calico
kaŭci/o	
kaŭĉuk/o	india rubber
kaŭr/i	to squat
kaŭteriz/i	cauterise
kaŭz/o	cause
kav/o	cavity, hollow  AK
kavaleri/o	cavalry
kavalir/o	cavalier, knight
kavern/o	cavern
kaviar/o	caviare
kaz/o	case (gram.)  AK
kaze/o	curds  AK
kazemat/o	
kazern/o	barracks
kazin/o	
kegl/o	skittle  AK
kejl/o	peg
kel/o	cellar
kelk/a	some, a few, certain  AK
kelner/o	waiter  AK
kemi/o	chemistry
ken/o	resinous wood
kep/o	cap (milit.)
ker/o	hearts (cards)  AK
kern/o	kernel, pip  AK
kerub/o	cherub
kest/o	chest, box
kibuc/o	
kil/o	keel  AK
kilogram/o	kilogram
kilometr/o	kilometer
kimon/o	
kin/o	cinema, film (as an art form)
kinin/o	quinine
kiosk/o	
kiras/o	cuirass
kirl/i	to whirl
kirŝ/o	
kirurg/o	surgeon
kirurgi/o	surgery
kis/i	kiss
kitel/o	smock, blouse  AK
klaĉ/i	to gossip, tattle
klaft/o	fathom (measure)
klak/i	to clack
klap/o	flap
klar/a	clear
Klar/o	
klarnet/o	clarinet
klas/o	class
klasifik/i	to classify
klasik/a	classic
klav/o	key (of piano, etc.)  AK
kler/a	well-educated, cultured  AK
klient/o	client
klimat/o	climate, clime
klin/i	bend, incline
kling/o	blade
klinik/o	
klister/o	clyster
kliŝ/i	stereotype
klitor/o	
kloak/o	common sewer
klon/o	
klopod/i	endeavour
klor/o	chlorine
kloŝ/o	bell-shaped cover (clock-shade, etc.)  AK
klub/o	club, association  AK
kluk/i	to cluck
kluz/o	sluice, lock  AK
knab/o	boy
knar/i	to creak (of a wheel, door, hinge, pen)
kned/i	knead
koaks/o	coak, coke
kobalt/o	cobalt
kobold/o	gnome
koĉenil/o	cochineal
kod/o	
kodeks/o	
kodicil/o	
koeficient/o	coefficient
kofr/o	coffer
koher/a	
koincid/i	to coincide
kojn/o	wedge
kok/o	cock (bird)  AK
kokard/o	cockade
kokcinel/o	ladybird  AK
koket/a	coquet (adj.)  AK
kokluŝ/o	whooping-cough  AK
kokon/o	
kokos/o	cocoa-nut  AK
koks/o	hip, hanch  AK
kol/o	neck
kolbas/o	sausage  AK
koleg/o	colleague
kolegi/o	college
kolekt/o	collect
kolektiv/a	collective
koler/i	be angry  AK
kolibr/o	humming-bird  AK
kolik/o	colic
kolimb/o	diver (bird)  AK
kolizi/i	to collide
kolodi/o	
kolofon/o	rosin
kolomb/o	dove
kolon/o	column
kolonel/o	colonel
koloni/o	colony
kolor/o	colour, hue  AK
kolos/o	colossus
kolport/i	hawk (sell), peddle  AK
kolubr/o	adder, snake
kolumn/o	column, file (of soldiers), rib (of knitting)
kolz/o	colza
kom/o	comma
komand/i	command (mil. and nav.)  AK
komandit/o	sleeping partnership
komb/i	comb (vb.)  AK
kombin/i	combine
komedi/o	comedy
komenc/i	commence
koment/i	
komentari/o	comment
komerc/i	trade
komet/o	comet
komfort/a	comfort
komik/a	comical
komisar/o	commissary
komisi/i	commission, entrust  AK
komision/o	a commission, board
komitat/o	committee
komiz/o	clerk
komod/o	chest of drawers
kompakt/a	
kompani/o	company
kompar/i	compare
komparativ/o	comparative (gram.)
kompas/o	mariner’s compass
kompat/i	compassionate
kompens/i	compensate
kompetent/a	competent
kompil/i	compile
komplement/o	complement, object
komplet/a	complete
komplez/i	favour, kindness  AK
komplik/i	complicate
kompliment/o	compliment
komplot/o	
kompon/i	compose
kompost/i	set (type)
kompot/o	
kompren/i	understand
kompres/o	compress (bandage)  AK
kompromis/o	
kompromit/i	to compromise, to endanger
komput/i	
komun/a	common (to all)  AK
komuni/o	administer the sacrament
komunik/i	communicate
kon/i	know, recognize, be acquainted with  AK
konced/i	to concede
koncentr/i	to concentrate
koncept/o	
koncern/i	concern
koncert/o	concert
koncesi/o	license
konciz/a	
kondamn/i	condemn
kondicional/o	conditional mood (gram.)
kondiĉ/o	condition
kondolenc/i	condole (with)  AK
kondom/o	
kondor/o	
konduk/i	conduct (vb.), steer  AK
konduktor/o	conductor (of a public vehicle)
kondut/i	behave, conduct (oneself) (intr.)  AK
konekt/i	
konfederaci/o	
konfekci/o	ready-made clothes, confection (clothing)
konferenc/o	
konfes/i	confess
konfid/i	confide, trust
konfidenc/o	confidence
konfirm/i	confirm, ratify
konfisk/i	confiscate
konfit/i	preserve with sugar
konflikt/o	
konform/a	conformably
konfuz/i	confuse
konglomerat/o	
kongregaci/o	
kongres/o	congress
konjak/o	
konjekt/i	conjecture, guess  AK
konjugaci/o	conjugate
konjunkci/o	conjunction
konk/o	shell, conch  AK
konkav/a	
konker/i	to conquer
konklud/i	conclude
konkord/o	concorde
konkret/a	
konkur/i	rival, compete  AK
konkurenc/o	concurrence
konkurs/o	a competition  AK
konsci/i	be conscious of
konscienc/o	conscience
konsekr/i	to consecrate, ordain
konsekvenc/o	consequent
konsent/i	consent
konserv/i	preserve
konservativ/a	conservative
konservatori/o	
konsider/i	consider
konsil/i	advise, counsel
konsist/i	consist
konsistori/o	
konsol/i	console
konsonant/o	consonant (gram.)  AK
konspir/i	conspire
konstant/a	constant
konstat/i	prove, verify
konstern/i	dismay, disconcert, startle  AK
konstituci/o	
konstru/i	construct, build
konsul/o	
konsult/i	to consult
konsum/i	consume
kont/o	account
kontakt/o	contact
kontant/a	paid in cash
kontent/a	content
kontest/i	to contest
kontinent/o	continent
kontinu/a	continuous
kontor/o	office, counting-house
kontraband/o	
kontrabas/o	double-bass
kontrakt/i	contract
kontralt/o	contralto
kontrapunkt/o	counterpoint
kontrast/o	contrast
kontribu/i	to contribute
kontribuci/o	contribution
kontrol/i	check, verify
kontur/o	outline, contour
kontuz/i	contuse
konus/o	cone
konval/o	lily of the valley  AK
konveks/a	
konven/a	be suitable, suit  AK
konvenci/o	
konversaci/i	conversation
konvert/i	convert (vb.)  AK
konvink/i	convince
konvolvul/o	convolvulus
konvulsi/o	convulsion
kooperativ/o	
kopek/o	kopeck
kopi/o	copy
kor/o	heart
koral/o	coral
Koran/o	Coran
korb/o	basket
kord/o	string (mus. instr.)  AK
korekt/i	correct
korelativ/a	
korespond/i	correspond
koridor/o	corridor
korife/o	
kork/o	a cork  AK
korn/o	horn
korne/o	cornea
kornet/o	cornet
kornic/o	cornice  AK
kornik/o	crow
korol/o	corolla
korp/o	body
korporaci/o	corporation
korpus/o	body of an army
korsaĵ/o	bodice
korsar/o	corsair
korset/o	stays
kort/o	court, courtyard  AK
korupt/i	to bribe, to corrupt
korv/o	raven
korvet/o	sloop
kosm/o	cosmos, space
kosmetik/o	
kosmogoni/o	
kosmograf/o	
kosmografi/o	
kosmopolit/o	
kost/i	cost (vb.)  AK
Kostarik/o	
kostum/o	costume
kot/o	dirt
kotiz/i	subscribe, contribute
kotlet/o	cutlet
koton/o	cotton (product)  AK
koturn/o	quail (bird)
kov/i	brood, sit (as a hen etc.)  AK
kovert/o	envelope
kovr/i	cover
kozak/o	cossack
krab/o	crab
krabr/o	hornet
kraĉ/i	spit
krad/o	grating, crossbars  AK
krajon/o	pencil
krak/i	crack, noise  AK
kraken/o	cracknel
kramf/o	
kramp/o	clamp, bracket  AK
kran/o	tap, cock  AK
krani/o	skull
kratag/o	hawthorn
krater/o	crater
kravat/o	cravat
kre/i	create
kred/i	believe
kredit/o	credit
kreditor/o	creditor
krem/o	cream
kren/o	horse-radish
kreol/o	
kreozot/o	
krep/o	crape
krepusk/o	twilight
kres/o	
kresk/i	grow, increase
krest/o	crest (of a cock)
krestomati/o	
kret/o	chalk
krev/i	burst (intr.)  AK
kri/i	cry out, cry  AK
kribr/i	sieve, sift  AK
krim/o	crime
kriminal/a	criminal (adj.)  AK
kring/o	ring-shaped cake  AK
kripl/a	deformed, cripple (adj.)  AK
kript/o	
krisp/o	mesentery, ruffle (a)  AK
Krist/o	Christ
kristal/o	crystal
kriteri/o	
kritik/i	criticise  AK
kriz/o	crisis
krizantem/o	
kroĉ/i	hook to, cling to
krokodil/o	crocodile
kromosom/o	
kron/o	crown
kronik/a	chronicle
kronologi/o	
kronometr/o	
krop/o	crop, craw
kroz/i	cruise (of warships)  AK
kruc/o	cross
krucifiks/o	crucifix
kruĉ/o	jug, pitcher, cruise  AK
krud/a	raw, crude, rough
kruel/a	cruel
krup/o	croup
krur/o	leg  AK
krust/o	crust
krut/a	steep
ksilofon/o	
ku/o	
Kub/o	
kub/o	cube
kubut/o	elbow
kudr/i	sew
kuf/o	coif, cap, head-dress  AK
kugl/o	bullet
kuir/i	cook (vb.)  AK
kuk/o	cake, cookey  AK
kukol/o	cuckoo
kukum/o	cucumber
kukurb/o	pumpkin, gourd  AK
kul/o	gnat
kuler/o	spoon
kulis/o	slip, wing
kulp/a	guilty, at fault  AK
kult/o	worship, cult
kultur/i	culture
kumin/o	cumin
kunikl/o	rabbit
kup/o	cupping-glass
kupe/o	compartment
kupol/o	cupola, dome
kupon/o	coupon
kupr/o	copper
kur/i	run (intr.)  AK
kurac/i	treat (as an ilness), cure  AK
kuraĝ/a	courageous  AK
kurator/o	trustee, curator  AK
kurb/o	curved, bent  AK
kurent/o	current (electric)
kurier/o	courier
kurioz/a	curious, singular
kurs/o	course
kursiv/o	cursive, italics
kurten/o	curtain
kurz/o	
kusen/o	cushion
kuŝ/i	lie (down)
kutim/o	be accustomed  AK
kuv/o	tub, bath  AK
kuz/o	cousin
kvadrat/o	square
kvadratur/o	
kvadril/o	
kvaker/o	
kvalit/o	quality
kvant/o	quantity
kvaranten/o	quarantine
kvarc/o	quartz
kvart/o	quart
kvartal/o	quarter (of town), ward  AK
kvast/o	tassel
kverel/i	to wrangle, quarrel
kverk/o	oak
kvestor/o	
kviet/a	quiet, calm
kvint/o	quint
kvintesenc/o	quintessence
kvit/a	be quit of  AK
kvitanc/o	receipt (vb), give a quittance  AK
kvocient/o	
kvorum/o	
labirint/o	labyrinth
labor/i	work, labour  AK
laboratori/o	laboratory
lac/a	weary
lacert/o	lizard
laĉ/o	lace (boots, stays, etc.)  AK
lad/o	tinned iron  AK
laf/o	lava
lag/o	lake
lagun/o	
laik/o	layman
lak/o	varnish
lake/o	lackey
laks/o	diarrhoea, looseness (of bowels)  AK
lakt/o	milk (subst.)  AK
laktuk/o	lettuce
lam/a	lame
lama/o	
lamen/o	lamina
lament/i	to lament
lamp/o	lamp
lampir/o	glow-worm
lan/o	wool
lanc/o	lance
lanĉ/i	
land/o	land, country
lang/o	tongue (organ of speech)  AK
lantern/o	lantern
lanug/o	down, fluff (of feathers)  AK
lap/o	burdock
lapis/o	lunar caustic
lard/o	bacon  AK
larĝ/a	broad
larik/o	larch tree
laring/o	larynx
larm/o	tear (subst.) (shed a)  AK
larv/o	chrysalis
las/i	leave, let alone
laser/o	
last/a	last, latest
lat/o	lath
later/o	side (geom.)
latitud/o	latitude
latun/o	brass
latv/o	
laŭb/o	arbour, summer-house  AK
laŭd/i	praise
laŭr/o	laurel (tree)  AK
laŭreat/o	
laŭt/a	loud
lav/i	wash
lavang/o	avalanche
lavend/o	lavender
lazur/o	azure
lecion/o	lesson
led/o	leather
leg/i	read
legat/o	
legend/o	legend
legi/o	legion
legitim/i	to legitimize, to establish the identity
legom/o	vegetable (eatable)  AK
leĝ/o	law
lek/i	lick
lekant/o	marguerite  AK
lekci/o	lecture
leksikon/o	lexicon
lens/o	lens (optics)
lent/o	lentil
lentug/o	freckle
leon/o	lion
leontod/o	dandelion
leopard/o	leopard
lepor/o	hare
lepr/o	leprosy
lern/i	learn
lert/a	skilful
lesiv/o	lye, buck (for bleaching)  AK
letargi/o	lethargy
leter/o	letter
leŭkemi/o	
leŭtenant/o	lieutenant
lev/i	lift, raise
levkoj/o	wall-flower, gilly flower  AK
lian/o	liana (bot.)  AK
Liban/o	
libel/o	dragon fly
liber/a	free
liberal/a	
Liberi/o	
Libi/o	
libr/o	book
lice/o	high-school
licenc/o	license, permit
lien/o	spleen
lift/o	lift
lig/o	bind, tie
lign/o	wood (the substance)
liken/o	lichen (bot.)  AK
likv/o	a liquid
likvid/i	liquidate
likvor/o	liqueur (a cordial)  AK
lili/o	lily
lim/o	limit
limak/o	snail
limf/o	
limonad/o	lemonade
lin/o	flax
lingv/o	language
lini/o	line  AK
link/o	lynx
lip/o	lip
lir/o	lyre
lirik/o	lyric (poetry)
list/o	list
lit/o	bed (couch)  AK
litani/o	litany
liter/o	letter (of alphabet)  AK
literatur/o	literature
litograf/i	to lithograph
litografi/o	lithography
litr/o	
liturgi/o	liturgy
liut/o	lute
liver/i	deliver, furnish
livre/o	livery
